name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Pine Valley Police Department - NJ,Pine Valley Police Department,https://www.pvnj.org/police,local,NJ,Clementon,34007,['Camden'],39.77689,-74.9718,,rec96rT5gLK8bd8h0
Kanawha Police Department - IA,Kanawha Police Department,,local,IA,Kanawha,19081,['Hancock'],,,,rec96xqnZScnp68rt
Gladwin Police Department - MI,Gladwin Police Department,https://www.facebook.com/gladwinpolicedepartment/,local,MI,Gladwin,,,,,,rec971sX8H0HbjrIs
Houston Police Department - Gulfton - TX,Houston Police Department - Gulfton,http://www.houstonpolice.org,local,TX,Houston,48201,['Harris'],29.71702,-95.4856,,rec979WJ0WAxGhu19
Boykins Police Department - VA,Boykins Police Department,https://townofboykinsva.com/police/,local,VA,Boykins,51175,['Southampton'],36.583767,-77.19915,,rec97C2vgmSiVNI7x
Trenton Police Department - NJ,Trenton Police Department,http://www.trentonpolice.com/,local,NJ,Trenton,34021,['Mercer'],40.2267,-74.75291,,rec97GPds0yTa8RP2
Newton County Prosecutor's Office - IN,Newton County Prosecutor's Office,https://www.newtoncounty.in.gov/department/index.php?structureid=13,county,IN,,,,,,,rec97JvkkeT84RNxo
Texas A & M University Corpus Christi Campus Police Department - TX,Texas A & M University Corpus Christi Campus Police Department,https://police.tamucc.edu/,school,TX,Corpus Christi,48355,['Nueces'],27.71246,-97.32779,,rec97Sdf4fILSCreU
Ingalls Police Department - IN,Ingalls Police Department,https://in211.communityos.org/apssreadonly/render/id/10632/form/service/record_id/26498,local,IN,Ingalls,18095,['Madison'],39.956787,-85.80486,,rec97bWVwv285G8hY
Edwardsburg Police Department - MI,Edwardsburg Police Department,http://edwardsburg.net/,local,MI,Edwardsburg,26027,['Cass'],41.796665,-86.09194,,rec97dR8fd1EaFCff
Orchard Park Police Department - NY,Orchard Park Police Department,https://www.orchardparkny.org/departments/police-department/,local,NY,Orchard Park,36029,['Erie'],42.76628,-78.743126,,rec97lc4mHYmBUZMZ
Pemiscot County Sheriff's Office - MO,Pemiscot County Sheriff's Office,https://www.pemiscotcounty.org/sheriff/,county,MO,Caruthersville,29155,['Pemiscot'],36.18877,-89.65813,,rec98Ao5Om308vI8z
Townsend Police Department - MA,Townsend Police Department,https://townsendpd.org/,local,MA,Townsend,25017,['Middlesex'],42.67651,-71.700096,,rec98Edl1URTT3xl8
Ithaca Police Department - MI,Ithaca Police Department,http://www.ithacami.com/1/260/police_department.asp,local,MI,Ithaca,26057,['Gratiot'],43.29098,-84.6044,,rec98NMSAxEIC08QS
Keiser Police Department - AR,Keiser Police Department,https://www.facebook.com/Keiserpolice/,local,AR,Keiser,05093,['Mississippi'],35.675083,-90.096954,,rec98Qad7sqA0AqXW
Oradell Police Department - NJ,Oradell Police Department,http://www.oradellpolice.com/,local,NJ,Oradell,34003,['Bergen'],40.95278,-74.03228,,rec98TFPY1QydfrbM
Ogden Police Department - NY,Ogden Police Department,https://www.facebook.com/townofogdenpolicedepartment,local,NY,Spencerport,36055,['Monroe'],43.17086,-77.80192,,rec98WyL4ELUDE2lp
Keyser Police Department - WV,Keyser Police Department,https://www.cityofkeyser.com/police,local,WV,Keyser,54057,['Mineral'],39.441223,-78.975,,rec98ZkGeLKehAMaX
Virginia Department of Fire Programs - State Fire Marshal's Office - VA,Virginia Department of Fire Programs - State Fire Marshal's Office,https://www.vafire.com/,state,VA,Glen Allen,51087,['Henrico'],37.667976,-77.45655,,rec98gENFHOv8vB6X
Clay County Sheriff's Office - NC,Clay County Sheriff's Office,,county,NC,Hayesville,37043,['Clay'],35.04155,-83.82938,,rec98q6aSsNOQU73S
Miami Police Department - Flagami NET - FL,Miami Police Department - Flagami NET,http://www.miami-police.org/index.asp,local,FL,Miami,12086,['Miami-Dade'],25.77895,-80.2793,,rec98sEu8aZkMqDvk
Riverside County Sheriff's Department - Hemet - CA,Riverside County Sheriff's Department - Hemet,https://riverside.networkofcare.org/aging/services/agency.aspx?pid=RIVERSIDECOUNTYSHERIFFSDEPARTMENTHEMETHemetStation_38_1_0,county,CA,Hemet,06065,['Riverside'],33.74448,-116.89413,,rec99180sIod6JlqE
Logan County Sheriff's Office - KS,Logan County Sheriff's Office,https://www.discoveroakley.com/208/Sheriff,county,KS,Guthrie,40083,['Logan'],35.876286,-97.422325,,rec99DO75A7CxwIO5
Thomasboro Police Department - IL,Thomasboro Police Department,https://www.rantoulpress.com/news/shumate-heads-up-thomasboro-police-department/article_48ec086a-4c5c-11ea-89b8-730f7b2647d3.html,local,IL,Thomasboro,17019,['Champaign'],40.243397,-88.184204,,rec99EtnUoY84n2MM
Saint Marys Police Department - GA,Saint Marys Police Department,http://www.stmarysga.gov/department/police_department/index/index.php,local,GA,Saint Marys,13039,['Camden'],30.749735,-81.55334,,rec99F3I6pkRgoj0u
Caroline County Sheriff's Office - VA,Caroline County Sheriff's Office,https://www.carolinesheriff.org/,county,VA,Bowling Green,51033,['Caroline'],38.05133,-77.3458,,rec99GBAG4g5NRWy2
Nether Providence Police Department - PA,Nether Providence Police Department,http://netherprovidence.org/residents/public-safety/police-department/,local,PA,Wallingford,42045,['Delaware'],39.90041,-75.36851,,rec99QyySiZLNKM8a
Fergus County Sheriff's Department - MT,Fergus County Sheriff's Department,https://www.facebook.com/Fergus-County-Sheriffs-Office-439260032897162,county,MT,Lewistown,30027,['Fergus'],47.06168,-109.43049,,rec99UEVJnpyGC6XV
Ferguson Police Department - KY,Ferguson Police Department,,local,KY,Ferguson,21199,['Pulaski'],,,,rec9A7rP9WVyjNpFv
Green Forest Police Department - AR,Green Forest Police Department,https://www.greenforestar.net/police,local,AR,Green Forest,05015,['Carroll'],36.33445,-93.43416,,rec9AjPOQOGiyDYNB
Wisconsin Rapids Police Department - WI,Wisconsin Rapids Police Department,https://www.wirapids.org/police.html,local,WI,Wisconsin Rapids,55141,['Wood'],44.394066,-89.83014,,rec9B2JyefLFazToe
Maryland Motor Vehicle Administration Police Department - MD,Maryland Motor Vehicle Administration Police Department,https://mva.maryland.gov/Pages/police.aspx,local,MD,,,,,,,rec9BGc9wz9sTt0KV
Olathe Police Department - KS,Olathe Police Department,http://www.olatheks.org/government/police,local,KS,Olathe,20091,['Johnson'],38.866806,-94.81429,,rec9BSygMmJADcKFG
Pineville Police Department - NC,Pineville Police Department,https://www.facebook.com/pinevillencpolice/,local,NC,Pineville,37119,['Mecklenburg'],35.086,-80.892685,,rec9BiUweDGVOxfPT
Sonora Police Department - TX,Sonora Police Department,https://www.facebook.com/sonorapd,local,TX,Sonora,48435,['Sutton'],30.56798,-100.64141,,rec9BkSpQgPQ0dtue
Macon County Campus Police Department - GA,Macon County Campus Police Department,,school,GA,Montezuma,13193,['Macon'],32.29163,-84.01771,,rec9BnQtYEt0NKsJA
