name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Bloomer Police Department - WI,Bloomer Police Department,,local,WI,Bloomer,55017,['Chippewa'],45.10126,-91.48784,,recdtImRRfkbJwsFu
Hampton County Sheriff's Office - SC,Hampton County Sheriff's Office,http://hamptoncountyso.net/,county,SC,Varnville,45049,['Hampton'],32.86238,-81.08873,,recdtLznrkBRb3uBc
Sleepy Hollow Police Department - IL,Sleepy Hollow Police Department,https://www.facebook.com/sleepyhollowpd/,local,IL,Dundee,17089,['Kane'],42.093056,-88.31516,,recdtPv6Gsuvbav9q
Fox Valley Park District Police Department - IL,Fox Valley Park District Police Department,https://www.foxvalleyparkdistrict.org/about-us/park-police-public-safety/,local,IL,Aurora,17089,['Kane'],41.772152,-88.31128,,recdtn3hUwB2B9UAv
Berne Police Department - IN,Berne Police Department,http://cityofberne.com/city-services/police-department/,local,IN,Berne,18001,['Adams'],40.656967,-84.963905,,recdu0xTZECP4m0fO
Oxford County Sheriff's Office - ME,Oxford County Sheriff's Office,https://www.oxfordcountysheriff.com/,county,ME,South Paris,23017,['Oxford'],44.22157,-70.51844,,recduAwuVJw71o2RH
New York City Department of Sanitation - NY,New York City Department of Sanitation,,local,NY,Brooklyn,36047,['Kings'],,,,recduHQPV5NrSeDT2
Pulaski County Sheriff's Office - MO,Pulaski County Sheriff's Office,,county,MO,Waynesville,29169,['Pulaski'],37.82918,-92.2009,,recduQ53FOJgmt5Nj
Womelsdorf Borough Police Department - PA,Womelsdorf Borough Police Department,,local,PA,Womelsdorf,42011,['Berks'],40.36341,-76.1848,,recduQLdTHV3iMw6b
Union County Sheriff Dept - IN,Union County Sheriff Dept,https://www.facebook.com/unioncounty.sheriff.5,county,IN,Liberty,18161,['Union'],39.63529,-84.92765,,recdueVRAzAbOOoGp
Athens State University Police - AL,Athens State University Police,,school,AL,Athens,01083,['Limestone'],,,,recdufUBL848wjZo0
Sauk Centre Police Department - MN,Sauk Centre Police Department,https://saukcentre.govoffice2.com/index.asp?SEC=C3D10E49-3D12-4F67-BCBB-F59890D429CD&Type=B_DIR,local,MN,Sauk Centre,27145,['Stearns'],45.736946,-94.950554,,recdug2ZLTTpVUIC0
Brown County Sheriff's Office - IL,Brown County Sheriff's Office,https://www.browncoil.org/sheriff/,county,IL,Mount Sterling,17009,['Brown'],39.986504,-90.76414,,recdusUnL4Hr5BtIE
Dekalb County Sheriff's Office - MO,Dekalb County Sheriff's Office,http://www.dekalbcountysheriffsoffice.com/,county,MO,Maysville,29063,['DeKalb'],39.889828,-94.359695,,recdutD03QeOUzAVa
Pond Creek Police Department - OK,Pond Creek Police Department,http://www.pondcreekok.com/police-dept.html,local,OK,Pond Creek,40053,['Grant'],36.6685,-97.80118,,recdv6ehhmaLbMRGB
Yomba Shoshone Tribal Police Department - NV,Yomba Shoshone Tribal Police Department,,local,NV,Austin,32023,['Nye'],,,,recdvFByYGZAEhgw7
Evanston Police Department - IL,Evanston Police Department,https://www.facebook.com/evanstonpolice,local,IL,Evanston,17031,['Cook'],42.044704,-87.68387,,recdvO4qbBj2XNW0G
Ocean Ridge Public Safety Department. - FL,Ocean Ridge Public Safety Department.,,local,FL,Ocean Ridge,12099,['Palm Beach'],,,,recdvb0g0ezKq8elX
Cherokee County Sheriff's Office Hickory Flat Precinct - GA,Cherokee County Sheriff's Office Hickory Flat Precinct,,county,GA,Woodstock,13057,['Cherokee'],34.166,-84.41612,,recdvgVQHOtjncBxN
Superior Court of California - County of San Francisco - CA,Superior Court of California - County of San Francisco,https://www.sfsuperiorcourt.org/,county,CA,,06075,['San Francisco'],,,,recdvjlYlnCn0aTYZ
University of Virginia's College at Wise Police Department - VA,University of Virginia's College at Wise Police Department,https://www.uvawise.edu/campus-police,school,VA,Wise,,,,,,recdwSusJb1i8wjTs
Clinton Police Department - ME,Clinton Police Department,https://www.clinton-me.us/police,local,ME,Clinton,23011,['Kennebec'],44.63676,-69.5076,,recdwW2X4lbJHigT3
Richmond Police Department - NH,Richmond Police Department,www.richmond.nh.gov/index.asp?SEC=ADEC468C-A7F5-414D-9CE0-9C0B9F9FED4C&Type=B_BASIC,local,NH,Winchester,33005,['Cheshire'],42.7549,-72.273,,recdwfxzTXgVpaGTO
Caryville Police Department - TN,Caryville Police Department,,local,TN,Caryville,47013,['Campbell'],,,,recdwl8aJNIlr9dUq
Dallas Area Rapid Transit Police - TX,Dallas Area Rapid Transit Police,,local,TX,Dallas,48113,['Dallas'],,,,recdwpZRkH866ClcN
Fulton Police Department - MS,Fulton Police Department,http://itawambacoms.com/sheriff/,local,MS,Fulton,28057,['Itawamba'],34.27202,-88.40956,,recdwuN6szzwQzH2K
Burlington Police Department - NJ,Burlington Police Department,https://burlingtonpolicenj.com/,local,NJ,Burlington,34005,['Burlington'],40.0759,-74.86808,,recdxXVgLdJnUpy0e
Pennsylvania State Forest Rangers - PA,Pennsylvania State Forest Rangers,,state,PA,Penfield,42033,['Clearfield'],41.12114,-78.53261,,recdxZEv9O5Kh8NBt
Chippewa County Sheriff's Office - MN,Chippewa County Sheriff's Office,https://www.facebook.com/chippewacountysheriffsoffice/,county,MN,Sault Sainte Marie,26033,['Chippewa'],46.497425,-84.34558,,recdxZOelfHF18eQ2
Marengo County Sheriff's Office - AL,Marengo County Sheriff's Office,http://www.marengosheriff.com/,county,AL,Linden,01091,['Marengo'],32.30672,-87.797424,,recdxbgUTMuGz66Fg
Hughes County Sheriff's Office - OK,Hughes County Sheriff's Office,https://www.facebook.com/HughesCoSO/,county,OK,Holdenville,40063,['Hughes'],35.0841,-96.399994,,recdxlMI7tC121dIP
Rosslyn Farms Borough Police Department - PA,Rosslyn Farms Borough Police Department,,local,PA,Carnegie,42003,['Allegheny'],,,,recdxz8yZIjsWDo1W
Minnehaha County Sheriff's Office - SD,Minnehaha County Sheriff's Office,http://minnehahacounty.org/dept/so/so.php,county,SD,Sioux Falls,46099,['Minnehaha'],43.55447,-96.73031,,recdy0z1X9dWUdSCA
United States Marshals Service (USMS) - DC,United States Marshals Service (USMS),https://www.usmarshals.gov/,state,DC,Washington,,,,,,recdy3EMWQqm6OEmT
Atlantic City Police Department - NJ,Atlantic City Police Department,http://acpolice.org/,local,NJ,Atlantic City,34001,['Atlantic'],39.355587,-74.445465,,recdy4pkzBMNJHZoV
Mount Airy Police Department - GA,Mount Airy Police Department,,local,GA,Mount Airy,13137,['Habersham'],34.51559,-83.50215,,recdy9E6I1grg5nyL
Lexington Police Department - MA,Lexington Police Department,https://www.lexingtonma.gov/police,local,MA,Lexington,25017,['Middlesex'],42.44667,-71.22345,,recdyEwbxuJlvsz6v
Williams Company Police - Greensboro - NC,Williams Company Police - Greensboro,https://www.greensboro-nc.gov/departments/police,local,NC,Greensboro,37081,['Guilford'],36.041878,-79.79293,,recdyOUuTtUCVob1U
Summers County Sheriff's Department - WV,Summers County Sheriff's Department,https://www.summerscountywv.gov/government/sheriffs-office,county,WV,Hinton,54089,['Summers'],37.673832,-80.891556,,recdyUH8S86iYRQq5
Sumiton Police Department - AL,Sumiton Police Department,,local,AL,Sumiton,01127,['Walker'],33.75294,-87.05009,,recdyjIPqtLRM9sQZ
Ramapo Police Department - NY,Ramapo Police Department,http://www.ramapo.org/page/police-31.html,local,NY,Suffern,36087,['Rockland'],41.11159,-74.10954,,recdymV2VgKtJN6fj
Sweet Grass County Sheriff's Office - MT,Sweet Grass County Sheriff's Office,http://sweetgrasscountygov.com/government-departments/county-govt/sheriff/,county,MT,Big Timber,30097,['Sweet Grass'],45.83418,-109.95711,,recdzQoQyGTuadbFU
Alapaha Police Department - GA,Alapaha Police Department,,local,GA,Alapaha,13019,['Berrien'],31.38104,-83.22221,,recdzazOPKOaQduGa
Estill Springs Police Department - TN,Estill Springs Police Department,,local,TN,Estill Springs,47051,['Franklin'],,,,recdzlHkf9z39zH4o
McIntosh Police Department - AL,McIntosh Police Department,,local,AL,Mc Intosh,01129,['Washington'],31.26756,-88.03083,,recdzm8wRDcrBZAp7
Uvalde County Sheriff's Office - TX,Uvalde County Sheriff's Office,https://www.sheriffstx.org/county_map/county/2755,county,TX,Uvalde,48463,['Uvalde'],29.210566,-99.78615,,recdzsfxEIW5eU423
Danville Police Department - OH,Danville Police Department,,local,OH,Danville,39083,['Knox'],,,,recdzsuZJ3ldyf8FF
Eastern Shore Community College Police Department - VA,Eastern Shore Community College Police Department,,school,VA,Melfa,51001,['Accomack'],37.64044,-75.75074,,rece02BzLSmZMwI32
California State University - Fullerton Police - CA,California State University - Fullerton Police,,school,CA,Fullerton,06059,['Orange'],,,,rece03GyWVFGbJQ9S
Lampasas County Sheriff's Office - TX,Lampasas County Sheriff's Office,https://www.facebook.com/Lampasas-County-Sheriffs-Office-100230304992205/,county,TX,Lampasas,48281,['Lampasas'],31.064608,-98.178154,,rece07TVtrBzATGnU
Westfield Center Police Department - OH,Westfield Center Police Department,,local,OH,Westfield Center,39103,['Medina'],,,,rece093zyHTHOGXpl
Harris County Sheriff's Office - TX,Harris County Sheriff's Office,http://www.harriscountyso.org/,county,TX,Houston,48201,['Harris'],29.762476,-95.35706,,rece0AtFDqYrXa3IK
Jewett Police Department - OH,Jewett Police Department,,local,OH,Jewett,39067,['Harrison'],,,,rece0BpiirFEAV7p9
Croton-on-Hudson Police Department - NY,Croton-on-Hudson Police Department,https://www.crotononhudson-ny.gov/police-department,local,NY,Croton On Hudson,36119,['Westchester'],41.208317,-73.88771,,rece0D9hMudeAZXlb
North Central College Department of Public Safety - IL,North Central College Department of Public Safety,https://www.facebook.com/ncccampussafety/,school,IL,Naperville,17043,['DuPage'],41.770737,-88.14537,,rece0NIy7qG3CgYXP
University of New Orleans Police Department - LA,University of New Orleans Police Department,https://www.uno.edu/upd,school,LA,New Orleans,22071,['Orleans'],30.028038,-90.06817,,rece0Qw4qzWAG4CFS
Chaffee Police Department - MO,Chaffee Police Department,,local,MO,Chaffee,29201,['Scott'],37.18065,-89.65818,,rece0Si7zpkh8wJKs
Butler University Police Department - IN,Butler University Police Department,http://www.butler.edu/bupd,school,IN,Indianapolis,18097,['Marion'],39.836308,-86.1686,,rece0aRs1lGstwDSN
Woodridge Police Department - IL,Woodridge Police Department,https://www.woodridgeil.gov/my_government/police_department/index.php,local,IL,Woodridge,17043,['DuPage'],41.75593,-88.04381,,rece0diyatmbnctMN
Florence Police Department - AL,Florence Police Department,https://florenceal.org/public_safety/police_department/index.php,local,AL,Florence,01077,['Lauderdale'],34.794704,-87.6719,,rece0eMik4Gzr6Bwh
Kilgore College Police Department - Longview Campus - TX,Kilgore College Police Department - Longview Campus,https://www.kilgore.edu/about/police-department-kcpd,school,TX,Longview,48183,['Gregg'],32.49267,-94.74248,,rece0ofACjUgJfgT9
East Orange Police Department - NJ,East Orange Police Department,http://www.eastorange-nj.gov/162/Police-Department,local,NJ,East Orange,34013,['Essex'],40.758736,-74.21131,,rece11KtE2WRuaUm4
Lumberton Police Department - NC,Lumberton Police Department,https://www.facebook.com/Lumberton-Police-Department-512708818765975/,local,NC,Lumberton,37155,['Robeson'],34.626244,-78.995445,,rece1CqJtmAVHbKuZ
Bangor Borough Police Department - PA,Bangor Borough Police Department,https://bangorborough.org/bangor-police-department/,local,PA,Bangor,42095,['Northampton'],40.86913,-75.20796,,rece1DVLqE7Hu9ns8
National Oceanic and Atmospheric Administration Office of Law Enforcement - FL,National Oceanic and Atmospheric Administration Office of Law Enforcement,https://www.fisheries.noaa.gov/about/office-law-enforcement,local,FL,,,,,,,rece1MTTtJm9FHIpu
Pittsfield Police Department - MA,Pittsfield Police Department,https://www.pittsfieldpd.org/,local,MA,Pittsfield,25003,['Berkshire'],42.44957,-73.25267,,rece1UqOEml0RGEhV
Powell Police Department - WY,Powell Police Department,http://powellpolice.com/,local,WY,Powell,56029,['Park'],-108.75569,,,rece1jQgzy3XLRoHG
Monterey County Sheriff's Office Salinas - CA,Monterey County Sheriff's Office Salinas,,county,CA,Salinas,06053,['Monterey'],36.70113,-121.63075,,rece1tjQP2qC5UHYc
Booneville Police Department - KY,Booneville Police Department,,local,KY,Booneville,21189,['Owsley'],,,,rece2OqNqPXY8wc7W
Marshall Police Department - MI,Marshall Police Department,https://townofmarshall.org/?page=police,local,MI,Marshall,26025,['Calhoun'],42.2848,-84.96278,,rece2kbHt6UNcAw9L
Dallas City Police Department - IL,Dallas City Police Department,https://dallascity-il.com/,local,IL,Dallas City,,,,,,rece3IuekLaduGvNG
Whitehall Police Department - NY,Whitehall Police Department,https://whitehallboro.org/for-safety/police-department/,local,NY,,36115,['Washington'],43.55365,-73.40308,,rece3OFsYTGZOmsdg
Saint Johnsville Village Police Department - NY,Saint Johnsville Village Police Department,,local,NY,St. Johnsville,36057,['Montgomery'],,,,rece3ScLflyyGzilJ
Louisiana Department of Environmental Quality - LA,Louisiana Department of Environmental Quality,https://www.deq.louisiana.gov/,local,LA,Baton Rouge,22033,['East Baton Rouge'],30.453,-91.18533,,rece3YmtpWwuei8v3
Indiana Purdue Fort Wayne (IPFW) Police Department - IN,Indiana Purdue Fort Wayne (IPFW) Police Department,http://www.fwpd.org/,local,IN,West Lafayette,18157,['Tippecanoe'],40.422363,-86.922165,,rece3ewisXQR743Le
Springdale Police Department - SC,Springdale Police Department,http://www.springdalesc.com/police-department/,local,SC,West Columbia,45063,['Lexington'],33.96005,-81.10457,,rece3wykLv9bXJQEv
Ellsinore Police Department - MO,Ellsinore Police Department,,local,MO,Ellsinore,29035,['Carter'],36.93311,-90.74812,,rece40x9hFmN9pORZ
Cumby Police Department - TX,Cumby Police Department,,local,TX,Cumby,48223,['Hopkins'],33.13728,-95.83922,,rece4BnYvoAT26gp0
Regent University Police Department - VA,Regent University Police Department,https://www.regent.edu/about-regent/regent-university-police-department/,school,VA,,,,,,,rece4fdfHu1lu8pz3
Arizona Game and Fish Department - AZ,Arizona Game and Fish Department,https://www.azgfd.com/,local,AZ,Flagstaff,04005,['Coconino'],35.16223,-111.66294,,rece4iUYTquKKOFrC
Woodbury Heights Borough Police - NJ,Woodbury Heights Borough Police,,local,NJ,Woodbury Heights,34015,['Gloucester'],,,,rece4jPK30F4eCuOQ
Alton Police Department - TX,Alton Police Department,https://www.facebook.com/altontxpd/,local,TX,Mission,48215,['Hidalgo'],26.282345,-98.31531,,rece4qlvJ49DlpzLa
University of Kansas Medical Center Police Department - KS,University of Kansas Medical Center Police Department,http://www.kumc.edu/police,school,KS,Kansas City,20209,['Wyandotte'],39.05667,-94.61076,,rece4qqzzcwItjUh7
Lloyd Police Department - NY,Lloyd Police Department,https://www.townoflloyd.com/police-department,local,NY,Highland,36111,['Ulster'],41.717194,-73.964264,,rece4s8qTVswYr7Sc
Barneveld Police Department - WI,Barneveld Police Department,https://barneveldwi.com/police-dept/,local,WI,Barneveld,55049,['Iowa'],43.01764,-89.89086,,rece4vnWltXZhI8u7
National Oceanic and Atmospheric Administration Office of Law Enforcement - MA,National Oceanic and Atmospheric Administration Office of Law Enforcement,https://www.fisheries.noaa.gov/about/office-law-enforcement,local,MA,,,,,,,rece54FNDUQm8gWFD
Altamonte Springs Police Department COPS Center - FL,Altamonte Springs Police Department COPS Center,https://www.altamonte.org/421/Police-Department,local,FL,Altamonte Springs,12117,['Seminole'],28.66672,-81.37727,,rece57t8pi6EJgPbD
Central Police Department - SC,Central Police Department,https://cityofcentral.org/police-department,local,SC,Central,45077,['Pickens'],34.71543,-82.78781,,rece5JKlwsxFQ2wJf
Larimer County Sheriff's Office - CO,Larimer County Sheriff's Office,http://larimersheriff.org/,county,CO,Fort Collins,08069,['Larimer'],40.56317,-105.03303,,rece5boxWVzVzVwCQ
Trigg County Sheriff's Office - KY,Trigg County Sheriff's Office,https://www.facebook.com/Trigg-County-Sheriffs-Office-107072464482652/,county,KY,Cadiz,21221,['Trigg'],36.869038,-87.79531,,rece5ePwKnmQk6k8J
Cornish Town Police Department - NH,Cornish Town Police Department,http://www.cornishnh.net/?page_id=338,local,NH,Cornish,33019,['Sullivan'],43.46322,-72.33131,,rece5h7xxUP3kX4GU
Port Jefferson Police Department - OH,Port Jefferson Police Department,https://www.facebook.com/pjpd7510,local,OH,Port Jefferson,39149,['Shelby'],40.32988,-84.09282,,rece5vMcQhlT3HLBS
Dayton Police Department - KY,Dayton Police Department,http://www.daytonky.com/police-department/,local,KY,Dayton,21037,['Campbell'],39.11242,-84.47324,,rece68Vt0uRbiEnLz
Bedford Police Department - MA,Bedford Police Department,https://www.bedfordpolicedepartment.com/,local,MA,Bedford,25017,['Middlesex'],42.49275,-71.28281,,rece6b1xe8iGYAW1D
Stokes County Sheriffs Office - NC,Stokes County Sheriffs Office,,county,NC,Danbury,37169,['Stokes'],36.41347,-80.21632,,rece6tHAapKh9fKN0
Umatilla Police Department - OR,Umatilla Police Department,https://www.facebook.com/City-of-Umatilla-Police-Department-1057214097790517/,local,OR,Umatilla,41059,['Umatilla'],45.91631,-119.348236,,rece6yOzyfy3LCzqc
Northwest Arkansas Community College Police - AR,Northwest Arkansas Community College Police,https://www.nwacc.edu/administrativeservices/campussafety/default.aspx,school,AR,Bentonville,05007,['Benton'],36.35757,-94.17217,,rece6yYEa9lwq76vo
McHenry County Sheriff's Office - ND,McHenry County Sheriff's Office,http://www.mchenrycountynd.com/departments/sheriffs-office,county,ND,Towner,38049,['McHenry'],48.34309,-100.40448,,rece750Y80SHL8KTr
Newville Borough Police Department - PA,Newville Borough Police Department,https://www.newvilleborough.com/new-page-2,local,PA,Newville,42041,['Cumberland'],40.171734,-77.39965,,rece7bO1nJiRY70o2
Brook Park Police Department - OH,Brook Park Police Department,,local,OH,Brook Park,39035,['Cuyahoga'],,,,rece7lmcTLnHYfg7F
Hugo Marshal's Office - CO,Hugo Marshal's Office,,local,CO,Hugo,08073,['Lincoln'],,,,rece7pDk3b5GCzNTd
Utah County Sheriff - Judicial Services - UT,Utah County Sheriff - Judicial Services,,county,UT,Provo,49049,['Utah'],40.23168,-111.65821,,rece81Sjw2gE9sCUP
Dolores County Sheriff's Office - CO,Dolores County Sheriff's Office,https://www.facebook.com/Dolores-County-Sheriffs-Office-101833464797915/,county,CO,Dove Creek,08033,['Dolores'],37.76546,-108.90368,,rece87ahhmHOGBUEz
Kincaid Police Department - IL,Kincaid Police Department,https://www.facebook.com/kincaidpolice/,local,IL,Kincaid,17021,['Christian'],39.586433,-89.41294,,rece8cIKXLNAV5cKR
Fillmore Police Department - IN,Fillmore Police Department,https://www.venturasheriff.org/divisions/patrol-services/fillmore/,local,IN,Fillmore,06111,['Ventura'],34.40025,-118.91469,,rece8jjTOxtXoHxU3
Contra Costa County Sheriff's Office Martinez - CA,Contra Costa County Sheriff's Office Martinez,,county,CA,Martinez,06013,['Contra Costa'],38.01925,-122.13391,,rece8mlCyzrWBSM6T
Alabama Alcoholic Beverage Control Board - AL,Alabama Alcoholic Beverage Control Board,,local,AL,Montgomery,01101,['Montgomery'],,,,rece8pH57FjxiPsiv
Walker River Tribal Police Department - NV,Walker River Tribal Police Department,,local,NV,Schurz,32021,['Mineral'],,,,rece8s9rjyXquMUTf
Dallas Police Department - TX,Dallas Police Department,https://dallaspolice.net/,local,TX,Dallas,48113,['Dallas'],32.828606,-96.796234,,rece96HuT3JfD6b2i
Shippensburg University Police Department - PA,Shippensburg University Police Department,https://www.ship.edu/life/campus-safety/police/,school,PA,Shippensburg,42041,['Cumberland'],40.058826,-77.52392,,rece9SF3E4JVCjh22
Tazewell Police Department - TN,Tazewell Police Department,,local,TN,Tazewell,47025,['Claiborne'],36.45667,-83.56846,,rece9dEw6ApWNStvI
Kankakee County Sheriff's Office - IL,Kankakee County Sheriff's Office,http://kankakeecountysheriff.com/,county,IL,Kankakee,17091,['Kankakee'],41.076393,-87.857925,,rece9fhfpLzijdrJs
Almyra Police Department - AR,Almyra Police Department,https://www1.salary.com/ar/almyra/police-or-sheriffs-patrol-officer-Salary.html,local,AR,,,,,,,rece9iIlO83pNFWn1
Jennings Police Department - FL,Jennings Police Department,https://www.cityofjennings.com/departments/police-department/,local,FL,,12047,['Hamilton'],30.60339,-83.09905,,rece9jR8XjZmarvK5
Brewster Police Department - NY,Brewster Police Department,http://www.brewstervillage-ny.gov/index.php/government/brewster-police-department,local,NY,Brewster,39151,['Stark'],40.712784,-81.59801,,receA0lTO9RcFxFnP
Tell City Police Department - IN,Tell City Police Department,http://tellcity.in.gov/police-department/?sa=X&ved=2ahUKEwi50eWRoO_wAhWLG80KHa-0BsIQ9QF6BAgKEAI,local,IN,Tell City,18123,['Perry'],37.950603,-86.770775,,receA2735iQJjN754
Indiana Courts - IN,Indiana Courts,https://www.indy.gov/,state,IN,Indianapolis,,,,,,receALzfVLxX9i94b
Smyrna Park Rangers - GA,Smyrna Park Rangers,,local,GA,Smyrna,13067,['Cobb'],,,,receAuZAe0EnQXxbN
Atlantic County Sheriff's Office - NJ,Atlantic County Sheriff's Office,http://www.acsheriff.org/,county,NJ,Mays Landing,34001,['Atlantic'],39.43826,-74.69078,,receBCS7xLOlkVbFY
Bricelyn Police Department - MN,Bricelyn Police Department,,local,MN,Bricelyn,27043,['Faribault'],43.56218,-93.81189,,receBF0yyGp4Vk8ZL
Sherborn Police Department - MA,Sherborn Police Department,https://www.sherbornma.org/police-department,local,MA,Sherborn,25017,['Middlesex'],42.23922,-71.37069,,receBTVTMMJRrbai5
Port Byron Police Department - IL,Port Byron Police Department,https://www.cayugacounty.us/822/Police-Department,local,IL,Port Byron,17161,['Rock Island'],41.607033,-90.33612,,receBUo3f2LtOU1kO
New Hampshire State Fire Marshal's Office - NH,New Hampshire State Fire Marshal's Office,https://www.firemarshal.dos.nh.gov/,state,NH,Concord,33013,['Merrimack'],43.215965,-71.519135,,receBvZrXOpNXB3kw
Fox Chapel Police Department - PA,Fox Chapel Police Department,https://www.fox-chapel.pa.us/police-department,local,PA,Pittsburgh,42003,['Allegheny'],40.51496,-79.87996,,receBxo4V5eaJjGt1
Jefferson County Sheriff's Office - OR,Jefferson County Sheriff's Office,,county,OR,Madison,18077,['Jefferson'],38.736046,-85.37679,,receC4IjP9nfk9kGZ
Northeastern Illinois University Police Department - IL,Northeastern Illinois University Police Department,https://www.neiu.edu/university-life/university-police,school,IL,,,,,,,receCMznw29TiJqgV
North Cornwall Township Police Department - PA,North Cornwall Township Police Department,http://www.nctown.org/departments-services/police,local,PA,Lebanon,42075,['Lebanon'],40.333603,-76.44112,,receCOAPTKTjv6GbL
Pittsburg Police Department - CA,Pittsburg Police Department,http://www.ci.pittsburg.ca.us/index.aspx?page=272,local,CA,Pittsburg,06013,['Contra Costa'],38.019764,-121.89167,,receCYlsTxZI6KFVC
Broward County Sheriff's Office Aviation Division - FL,Broward County Sheriff's Office Aviation Division,,county,FL,Fort Lauderdale,12011,['Broward'],26.19094,-80.17055,,receCrU5cfocYWSum
Southwestern Regional Police Department - PA,Southwestern Regional Police Department,,local,PA,Spring Grove,42133,['York'],39.82737,-76.89835,,receCs29cwZ1HnFnq
Georgia State University Police Department - GA,Georgia State University Police Department,https://safety.gsu.edu/police/,state,GA,Carrollton,13045,['Carroll'],33.57205,-85.09969,,receD2I8qozZXeK1H
Belen Police Department - NM,Belen Police Department,https://www.belen-nm.gov/departments/police,local,NM,Belen,35061,['Valencia'],34.65991,-106.77451,,receDTizIsP9LTngk
Cross County Sheriff's Office - AR,Cross County Sheriff's Office,https://www.crosscountysheriff.org/,county,AR,Wynne,05037,['Cross'],35.223106,-90.78645,,receDUtxQhIpQWdi7
Sardinia Police Department - OH,Sardinia Police Department,https://villageofsardinia.com/police-department,local,OH,Sardinia,39015,['Brown'],39.007843,-83.80854,,receDl0zZ04SE9uOT
University of Utah Police Department - UT,University of Utah Police Department,https://safety.utah.edu/,school,UT,Salt Lake City,49035,['Salt Lake'],40.75986,-111.84097,,receDlEAFyKTAP2CN
Surry Community College Campus Police - Dobson - NC,Surry Community College Campus Police - Dobson,https://surry.edu/about/consumer-information,school,NC,,,,,,,receDmfuUpBNGwLiX
Alaska State Troopers - AK,Alaska State Troopers,https://dps.alaska.gov/AST/Home,state,AK,Cantwell,02068,['Denali'],63.38994,-148.88948,,receDxr7NBaMQ9Wp1
Shamokin City Police Department - PA,Shamokin City Police Department,http://www.shamokincity.org/police.htm,local,PA,Shamokin,42097,['Northumberland'],40.79155,-76.549934,,receEYB4OMjIOFIQI
Lehighton Borough Police Department - PA,Lehighton Borough Police Department,https://www.lehightonborough.com/police,local,PA,Lehighton,42025,['Carbon'],40.8333,-75.71226,,receF8ID5vSad5lkA
Wirt County Sheriff's Office - WV,Wirt County Sheriff's Office,https://www.facebook.com/wirtsheriff/,county,WV,Elizabeth,54105,['Wirt'],39.063484,-81.39487,,receFHyYpLUeaNGxy
Fayette County Constable District 1 - KY,Fayette County Constable District 1,,county,KY,Lexington,21067,['Fayette'],38.05006,-84.49344,,receFN4u0JQBn91Si
Pitcairn Borough Police Department - PA,Pitcairn Borough Police Department,,local,PA,Pitcairn,42003,['Allegheny'],,,,receFUl2AtWi2a8dE
Mansfield Police Department - MO,Mansfield Police Department,https://www.mansfieldtexas.gov/161/Police,local,MO,Mansfield,29229,['Wright'],37.10975,-92.58208,,receFbjlmwATkNkJV
Carl Junction Police Department - MO,Carl Junction Police Department,http://jv6.c33.myftpupload.com/index.php/police-department,local,MO,Carl Junction,29097,['Jasper'],37.17875,-94.56576,,receFjxt9nlhWU7v2
Central Technical School Campus Police Department - OK,Central Technical School Campus Police Department,,school,OK,Drumright,40037,['Creek'],35.99391,-96.58542,,receFnMUcvZJ16CmB
Markesan Police Department - WI,Markesan Police Department,http://www.markesanwi.gov/city-departments/police,local,WI,Markesan,55047,['Green Lake'],43.70555,-88.98679,,receFug7xd4TLUfUy
Monahans-Wickett-Pyote I.S.D. Police Department. - TX,Monahans-Wickett-Pyote I.S.D. Police Department.,,local,TX,Monahans,48475,['Ward'],,,,receGk3NNkiI4eTbY
Rhode Island College Police Department - RI,Rhode Island College Police Department,https://www.ccri.edu/campuspolice/,school,RI,Providence,,,,,,receH0HphfW4Ri2w9
Santa Cruz Harbor Patrol - CA,Santa Cruz Harbor Patrol,https://www.santacruzharbor.org/contact/,local,CA,,,,,,,receHEOEgziY43TcN
Fulton County Sheriff's Office - IN,Fulton County Sheriff's Office,,county,IN,Wauseon,39051,['Fulton'],41.545395,-84.141304,,receHEZXaz81zElSE
Montesano Police Department - WA,Montesano Police Department,http://cityofmontesano.com/department-directory/police/,local,WA,Harrington,53027,['Grays Harbor'],47.48046,-118.2544,,receHO52c7TeysaWm
Saint Clair Police Department - PA,Saint Clair Police Department,https://www.stclair-gov.org/,local,PA,Saint Clair,42107,['Schuylkill'],40.719013,-76.20036,,receHjD4EJc4KsR9m
Auburn Police Department - NE,Auburn Police Department,http://auburnmasspolice.org/,local,NE,Auburn,31127,['Nemaha'],40.38639,-95.84333,,receHsrUCfuHkyk7a
Shirley Police Department - IN,Shirley Police Department,http://shirleypd.org/,local,IN,Shirley,18059,['Hancock'],39.892788,-85.57685,,receHuR2hJWrSR9v1
Vandalia Police Department - IL,Vandalia Police Department,https://www.vandaliaillinois.com/city-information/police-dept/,local,IL,Vandalia,17051,['Fayette'],38.960094,-89.09622,,receHyjcjIxB7xkqG
Adams State College Police Department - CO,Adams State College Police Department,,school,CO,Alamosa,08003,['Alamosa'],,,,receI16jQ1wmwYrd0
Passaic County Sheriff's Department Bureau of Corrections - NJ,Passaic County Sheriff's Department Bureau of Corrections,http://www.pcsheriff.org/,county,NJ,Paterson,34031,['Passaic'],40.913414,-74.17112,,receI97LkHyGzo6Qi
Lebanon Police Department - KY,Lebanon Police Department,,local,KY,Lebanon,21155,['Marion'],37.56852,-85.25303,,receIOYuYsIs2aOTv
